Designator,Mid X,Mid Y,Layer,Rotation
C1,37.550mm,5.000mm,Top,-90
C2,38.300mm,11.500mm,Top,0
C3,31.500mm,28.600mm,Top,0
C4,34.000mm,11.500mm,Top,0
C5,35.500mm,28.600mm,Top,0
C6,26.600mm,25.400mm,Top,0
C7,29.600mm,25.500mm,Top,-90
C8,16.600mm,18.750mm,Top,0
C9,17.600mm,21.500mm,Top,-90
D1,44.900mm,6.700mm,Top,0
D2,32.750mm,7.000mm,Top,-90
F1,22.900mm,4.500mm,Top,0
J1,4.000mm,3.600mm,Top,0
J2,9.300mm,4.500mm,Top,0
J3,45.500mm,12.000mm,Top,-90
J4,17.000mm,33.000mm,Top,90
Q1,29.500mm,4.500mm,Top,180
R1,19.900mm,17.750mm,Top,0
R2,7.350mm,16.300mm,Top,0
R3,8.500mm,23.920mm,Top,0
R4,7.350mm,26.460mm,Top,0
R5,7.350mm,29.000mm,Top,0
R6,9.200mm,18.840mm,Top,0
R7,9.200mm,21.380mm,Top,0
R8,30.100mm,9.900mm,Top,-90
R9,19.000mm,29.500mm,Top,0
R10,22.300mm,29.500mm,Top,0
R11,25.600mm,29.500mm,Top,0
U1,25.000mm,19.500mm,Top,0
